Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
247,Bruce Bowen,1997,2009,873,27.6,6.1,2.8,1.2,0.8,0.4,0.409,0.393,0.575,42.9,0.086
248,Detlef Schrempf,1986,2001,1136,29.6,13.9,6.2,3.4,0.8,0.3,0.491,0.384,0.803,109.5,0.156
249,Terry Dischinger,1963,1973,652,27.4,13.8,5.6,1.8,,,0.506,,0.758,56.3,0.152
250,Toni Kukoč,1994,2006,846,26.3,11.6,4.2,3.7,1,0.3,0.447,0.335,0.729,59.6,0.129
251,Mike Bibby,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,0.436,0.379,0.802,73.2,0.104
252,Ralph Sampson,1984,1992,456,29.8,15.4,8.8,2.3,0.9,1.6,0.486,0.172,0.661,20.1,0.071
253,Frank Ramsey,1955,1964,623,24.6,13.4,5.5,1.8,,,0.399,,0.804,49.2,0.154
254,Anthony Mason,1990,2003,882,34.7,10.9,8.3,3.4,0.7,0.3,0.509,0.167,0.709,88.3,0.138
255,Andre Miller,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,0.461,0.217,0.807,100.8,0.12
256,Happy Hairston,1965,1975,776,31.4,14.8,10.3,1.6,0.8,0.2,0.478,,0.741,70,0.138
257,Shareef Abdur-Rahim,1997,2008,830,34.8,18.1,7.5,2.5,1,0.8,0.472,0.297,0.81,71.2,0.118
258,Doug Christie,1993,2007,827,31.5,11.2,4.1,3.6,1.9,0.5,0.426,0.354,0.821,55.7,0.102
259,Geoff Petrie,1971,1976,446,37.6,21.8,2.8,4.6,1.1,0.1,0.455,,0.805,26.1,0.075
260,Rony Seikaly,1989,1999,678,31.6,14.7,9.5,1.3,0.7,1.3,0.484,0.188,0.679,37.3,0.084
261,David West,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,0.495,0.265,0.817,85.9,0.141
262,Eddie Jones,1995,2008,954,34.4,14.8,4,2.9,1.7,0.6,0.437,0.373,0.809,100.6,0.147
263,Dan Majerle,1989,2002,955,31.6,11.4,4.5,2.9,1.3,0.4,0.431,0.358,0.741,78.5,0.125
264,John Lucas,1977,1990,928,27.5,10.7,2.3,7,1.4,0.1,0.449,0.303,0.776,53.7,0.101
265,Jeff Hornacek,1987,2000,1077,31.5,14.5,3.4,4.9,1.4,0.2,0.496,0.403,0.877,108.9,0.154
266,Dan Roundfield,1977,1987,746,31.4,15.2,9.7,2.2,0.9,1.5,0.485,0.115,0.738,65.2,0.134
267,Caldwell Jones,1977,1990,1068,24.8,6.2,7.2,1.3,0.4,1.4,0.473,0.065,0.753,44.3,0.08
268,Brian Winters,1975,1983,650,30.7,16.2,2.6,4.1,1.2,0.3,0.475,0.363,0.842,38.6,0.093
269,Otis Thorpe,1985,2001,1257,31.7,14,8.2,2.2,0.7,0.4,0.546,0.047,0.687,106.4,0.128
270,Jack Marin,1967,1977,849,29,14.8,5.2,2.1,0.5,0.2,0.465,,0.843,59.3,0.116
271,Terrell Brandon,1992,2002,724,29.8,13.8,3,6.1,1.6,0.3,0.448,0.355,0.873,65.9,0.147
272,Clifford Robinson,1990,2007,1380,30.8,14.2,4.6,2.2,1,1,0.438,0.356,0.689,89.7,0.101
273,Zach Randolph,2002,2018,1116,31,16.6,9.1,1.8,0.7,0.3,0.471,0.273,0.764,81.1,0.112
274,Scott Wedman,1975,1987,906,28.6,13.2,4.8,2,0.9,0.3,0.481,0.335,0.794,53.7,0.099
275,Bob Boozer,1961,1971,874,29.2,14.8,8.1,1.4,,,0.462,,0.761,64.2,0.121
276,Rik Smits,1989,2000,867,26.6,14.8,6.1,1.4,0.4,1.3,0.507,0.115,0.773,56.6,0.118
277,Vlade Divac,1990,2005,1134,29.8,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,96.4,0.137
278,Sleepy Floyd,1983,1995,957,27.6,12.8,2.6,5.4,1.2,0.2,0.444,0.324,0.815,50.6,0.092
279,Doc Rivers,1984,1996,864,27.3,10.9,3,5.7,1.8,0.4,0.444,0.328,0.784,68.2,0.139
280,Larry Costello,1955,1968,706,30,12.2,3.8,4.6,,,0.438,,0.841,62.7,0.142
281,Xavier McDaniel,1986,1998,870,29,15.6,6.1,2,0.9,0.5,0.485,0.261,0.718,47.8,0.091
282,Eddie Johnson,1978,1987,675,29.6,15.1,2.3,5.1,1.1,0.1,0.476,0.326,0.791,41,0.098
283,Eddie Johnson,1982,1999,1199,27.2,16,4,2.1,0.6,0.2,0.472,0.335,0.84,65.6,0.097
284,Bill Cartwright,1980,1995,963,28.5,13.2,6.3,1.4,0.5,0.7,0.525,0,0.771,72.8,0.127
285,Cliff Robinson,1980,1992,629,30.7,17.2,8.3,2,1,0.7,0.468,0.184,0.722,30.5,0.076
286,Kenny Sears,1956,1964,529,28.2,13.9,7.8,1.6,,,0.455,,0.826,55.8,0.179
287,Michael Finley,1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,0.444,0.375,0.811,85.2,0.108
288,Phil Ford,1979,1985,482,28,11.6,1.8,6.4,1.2,0.1,0.467,0.21,0.82,23.3,0.083
289,Jeff Mullins,1965,1976,804,30.6,16.2,4.3,3.8,0.8,0.2,0.463,,0.814,62.8,0.123
290,Mel Hutchins,1952,1958,437,37.9,11.1,9.6,3,,,0.389,,0.673,27.9,0.081
291,Tom Gugliotta,1993,2005,763,30.9,13,7.3,2.8,1.4,0.6,0.451,0.284,0.757,40.2,0.082
292,Nick Van Exel,1994,2006,880,32.9,14.4,2.9,6.6,0.8,0.1,0.405,0.357,0.794,55.9,0.093
293,Lucius Allen,1970,1979,702,28.7,13.4,3.1,4.5,1.5,0.3,0.463,,0.76,42,0.1
294,Mike Mitchell,1979,1988,759,32.3,19.8,5.6,1.3,0.7,0.5,0.493,0.216,0.779,50.2,0.098
295,Jerry Stackhouse,1996,2013,970,31.2,16.9,3.2,3.3,0.9,0.5,0.409,0.309,0.822,52.4,0.083
296,Don Chaney,1969,1980,742,23.5,8.4,3.9,2.1,1.2,0.5,0.438,0.167,0.776,35.5,0.098
297,Damon Stoudamire,1996,2008,878,33.2,13.4,3.5,6.1,1.1,0.1,0.406,0.357,0.833,55.4,0.091
298,Glen Rice,1990,2004,1000,35,18.3,4.4,2.1,1,0.3,0.456,0.4,0.846,88.7,0.122
299,Kenyon Martin,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,0.483,0.234,0.629,48,0.1
300,Calvin Natt,1980,1990,599,31.4,17.2,6.8,2.2,0.9,0.3,0.528,0.219,0.768,57.2,0.146
301,Swen Nater,1977,1984,489,28.4,12.2,10.8,2,0.5,0.5,0.537,0.25,0.76,36.9,0.128
302,Rashard Lewis,1999,2014,1049,32,14.9,5.2,1.7,1.1,0.5,0.452,0.386,0.805,90.9,0.13
303,Tom Sanders,1961,1973,916,24.2,9.6,6.3,1.1,,,0.428,,0.767,56.5,0.122
304,Sam Lacey,1971,1983,1002,31.8,10.3,9.7,3.7,1.3,1.5,0.441,0.188,0.738,50.9,0.077
305,Fred Brown,1972,1984,963,25.4,14.6,2.7,3.3,1.4,0.2,0.478,0.373,0.858,63.2,0.124
306,Elmore Smith,1972,1979,562,31.8,13.4,10.6,1.4,0.8,2.9,0.482,,0.579,34.7,0.093
307,Joe Barry Carroll,1981,1991,705,32.4,17.7,7.7,1.8,1,1.6,0.474,0,0.747,35.6,0.075
308,Sam Perkins,1985,2001,1286,28.5,11.9,6,1.5,0.9,0.7,0.459,0.362,0.811,105.4,0.138
309,Dick Barnett,1960,1974,971,29.8,15.8,2.9,2.8,0.2,0,0.456,,0.761,68.7,0.114
310,Sean Elliott,1990,2001,742,33,14.2,4.3,2.6,0.8,0.4,0.465,0.375,0.799,55.7,0.109
311,Dick Van Arsdale,1966,1977,921,34.5,16.4,4.1,3.3,0.9,0.2,0.464,,0.79,75.2,0.114
312,Tom Van Arsdale,1966,1977,929,30.9,15.3,4.2,2.2,0.7,0.1,0.431,,0.762,36.6,0.061
313,Slick Watts,1974,1979,437,26.3,8.9,3.2,6.1,2.2,0.3,0.413,,0.597,13.8,0.058
314,Tom Meschery,1962,1971,778,30.2,12.7,8.6,1.7,,,0.441,,0.745,43.6,0.089
315,Theo Ratliff,1996,2011,810,25.3,7.2,5.7,0.6,0.5,2.4,0.496,0,0.71,47.9,0.112
316,Kenny Anderson,1992,2005,858,30.1,12.6,3.1,6.1,1.5,0.1,0.421,0.346,0.79,62.5,0.116
317,Wayman Tisdale,1986,1997,840,28.4,15.3,6.1,1.3,0.6,0.6,0.505,0,0.76,45.7,0.092
318,Ray Williams,1978,1987,655,28.2,15.5,3.6,5.8,1.8,0.3,0.451,0.237,0.802,37.1,0.096
319,Lionel Hollins,1976,1985,673,27.4,11.6,2.4,4.5,1.6,0.3,0.444,0.149,0.741,22.9,0.059
320,Danny Ainge,1982,1995,1042,26.6,11.5,2.7,4,1.1,0.1,0.469,0.378,0.846,71.5,0.124
321,Kenny Smith,1988,1997,737,30.1,12.8,2,5.5,1,0.1,0.48,0.399,0.829,46.8,0.101
322,Fred Carter,1970,1977,611,30,15.2,3.9,3.5,1.2,0.2,0.425,,0.693,14.8,0.039
323,Gerald Wallace,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,0.469,0.312,0.709,59.7,0.116
324,Caron Butler,2003,2016,881,32.2,14.1,5,2.3,1.3,0.2,0.434,0.348,0.847,50.9,0.086
325,Allan Houston,1994,2005,839,33.7,17.3,2.9,2.4,0.7,0.2,0.444,0.402,0.863,55.3,0.094
326,Byron Scott,1984,1997,1073,28.1,14.1,2.8,2.5,1.1,0.3,0.482,0.37,0.833,75.2,0.12
327,Ron Harper,1987,2001,1009,30.9,13.8,4.3,3.9,1.7,0.7,0.446,0.289,0.72,65.8,0.101
328,Luke Jackson,1965,1972,522,26.4,9.9,8.8,1.6,,,0.415,,0.722,22.3,0.078
329,Lionel Simmons,1991,1997,454,29.7,12.8,6.2,3.3,1.1,0.8,0.433,0.305,0.771,16.9,0.06
330,Greg Ballard,1978,1989,802,27.5,12.4,6.1,2.2,1.1,0.3,0.472,0.338,0.787,54,0.117
331,Arvydas Sabonis,1996,2003,470,24.2,12,7.3,2.1,0.8,1.1,0.5,0.328,0.786,47.3,0.2
332,Danny Granger,2006,2015,586,31.5,16.8,4.9,1.9,1,0.8,0.434,0.38,0.848,48.5,0.126
333,Andre Iguodala,2005,2019,1108,33.4,12.1,5.1,4.4,1.5,0.5,0.466,0.333,0.71,96.4,0.125
334,Michael Adams,1986,1996,653,31.3,14.7,2.9,6.4,1.7,0.1,0.415,0.332,0.849,46.9,0.11
335,Billy Knight,1977,1985,671,27.4,15.7,4.5,2.1,0.9,0.1,0.506,0.274,0.83,48.5,0.126
336,Ben Gordon,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,0.432,0.401,0.857,33.3,0.078
337,Jay Vincent,1982,1990,576,27,15.2,5.5,2,0.7,0.3,0.474,0.148,0.784,27.5,0.085
338,Kevin Willis,1985,2007,1424,26.9,12.1,8.4,0.9,0.7,0.5,0.487,0.211,0.713,81.8,0.102
339,Jim Chones,1975,1982,623,30.7,12.3,8.3,1.7,0.5,1,0.468,0,0.704,37.4,0.094
340,Vinnie Johnson,1980,1992,984,24.7,12,3.2,3.3,0.9,0.3,0.464,0.254,0.74,50.8,0.1
341,Roy Tarpley,1987,1995,280,26.7,12.6,10,1,1.1,1.2,0.483,0.176,0.744,19.8,0.127
342,Vin Baker,1994,2006,791,32.5,15,7.4,1.9,0.7,1,0.485,0.215,0.638,47,0.088
343,Darryl Dawkins,1976,1989,726,23.7,12,6.1,1.3,0.5,1.4,0.572,0.133,0.685,46.4,0.129
344,Jim Jackson,1993,2006,885,32.8,14.3,4.7,3.2,0.8,0.2,0.428,0.365,0.825,35.8,0.059
345,Nick Anderson,1990,2002,800,31.2,14.4,5.1,2.6,1.4,0.5,0.446,0.356,0.667,55.3,0.106
346,Jameer Nelson,2005,2018,878,27.9,11.3,3,5.1,0.9,0.1,0.436,0.368,0.81,48.3,0.094
347,Al Jefferson,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,0.499,0.121,0.711,71,0.13
348,Rodney McCray,1984,1993,768,32.4,11.7,6.6,3.6,0.8,0.6,0.503,0.26,0.761,56,0.108
349,Paul Pressey,1983,1993,724,27.2,10.6,3.9,5.1,1.4,0.6,0.485,0.222,0.749,49,0.12
350,Muggsy Bogues,1988,2001,889,28.6,7.7,2.6,7.6,1.5,0,0.458,0.278,0.827,54,0.102
351,Mahmoud Abdul-Rauf,1991,2001,586,26.7,14.6,1.9,3.5,0.8,0.1,0.442,0.354,0.905,25.2,0.077
352,Campy Russell,1975,1985,566,29.6,15.8,4.8,3,1,0.2,0.459,0.366,0.772,35.8,0.103
353,Monta Ellis,2006,2017,833,34.8,17.8,3.5,4.6,1.7,0.3,0.451,0.314,0.772,41.9,0.069
354,Nat Clifton,1951,1958,544,30,10,8.2,2.5,,,0.361,,0.633,15,0.052
355,Robert Horry,1993,2008,1107,24.5,7,4.8,2.1,1,0.9,0.425,0.341,0.726,66.3,0.118
356,Steve Smith,1992,2005,942,30.6,14.3,3.2,3.1,0.8,0.3,0.44,0.358,0.845,83.7,0.139
357,Tayshaun Prince,2003,2016,1017,31,11.1,4.3,2.4,0.6,0.5,0.455,0.367,0.756,63.1,0.096
358,Sherman Douglas,1990,2001,765,27.6,11,2.2,5.9,1,0.1,0.484,0.267,0.678,32.9,0.075
359,Walt Hazzard,1965,1974,724,26.5,12.6,3,4.9,0.5,0.1,0.441,,0.757,30.3,0.076
360,Chuck Person,1987,2000,943,30.7,14.7,5.1,2.8,0.7,0.2,0.458,0.362,0.723,38.9,0.065
361,Armen Gilliam,1988,2000,929,28.4,13.7,6.9,1.2,0.7,0.7,0.489,0,0.776,58.1,0.106
362,John Johnson,1971,1982,869,29.6,12.9,5.5,3.8,0.8,0.4,0.446,0,0.779,37.1,0.069
363,Jalen Rose,1995,2007,923,30.3,14.3,3.5,3.8,0.8,0.3,0.443,0.355,0.801,47.2,0.081
364,Scott Skiles,1987,1996,600,28,11.1,2.5,6.5,0.8,0,0.435,0.379,0.889,30.4,0.087
365,Flynn Robinson,1967,1973,494,23.4,14.5,2.6,3.1,,,0.456,,0.849,31.3,0.13
366,Ricky Sobers,1976,1986,821,28,13.3,2.6,4.3,1.3,0.2,0.459,0.291,0.843,32,0.067
367,Mike Bantom,1974,1982,706,27.9,12.1,6.4,2.3,0.9,0.7,0.468,0.2,0.692,34.8,0.085
368,Ricky Pierce,1983,1998,969,24.4,14.9,2.4,1.9,0.8,0.2,0.493,0.322,0.875,72.2,0.146
369,John Shumate,1976,1981,318,28.9,12.3,7.5,1.8,1,0.7,0.516,0,0.72,24.5,0.128
370,Derek Fisher,1997,2014,1287,25.4,8.3,2.1,3,1.1,0.1,0.399,0.374,0.817,62.3,0.091
371,John Starks,1989,2002,866,27.2,12.5,2.5,3.6,1.1,0.1,0.412,0.34,0.769,49.9,0.102
372,Antonio McDyess,1996,2011,1015,27.6,12,7.5,1.3,0.8,1.1,0.497,0.117,0.67,69.8,0.119
373,Stephen Jackson,2001,2014,858,31.9,15.1,3.9,3.1,1.3,0.4,0.414,0.333,0.798,36.1,0.063
374,Larry Drew,1981,1991,714,25.7,11.4,1.8,5.2,1.1,0.1,0.467,0.291,0.798,24.4,0.064
375,Juwan Howard,1995,2013,1208,30.3,13.4,6.1,2.2,0.7,0.3,0.469,0.12,0.764,59.4,0.078
376,Richard Jefferson,2002,2018,1181,29,12.6,4,2,0.7,0.3,0.464,0.376,0.768,83,0.116
377,Vern Fleming,1985,1996,893,27.7,11.3,3.4,4.8,1,0.1,0.498,0.181,0.764,52,0.101
378,Steve Stipanovich,1984,1988,403,31.2,13.2,7.8,2.3,1,0.9,0.484,0.179,0.796,30.4,0.116
379,Mark Eaton,1983,1993,875,28.8,6,7.9,1,0.4,3.5,0.458,0,0.649,44.8,0.085
380,Jason Terry,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,0.444,0.38,0.845,102,0.116
381,Johnny Dawkins,1987,1995,541,27.5,11.1,2.5,5.5,1.1,0.1,0.456,0.33,0.857,21.8,0.07
382,Hersey Hawkins,1989,2001,983,32.6,14.7,3.6,2.9,1.7,0.3,0.461,0.394,0.87,90.6,0.136
383,Mychal Thompson,1979,1991,935,29.7,13.7,7.4,2.3,0.7,1.1,0.504,0.083,0.655,59.1,0.102
384,Mike Newlin,1972,1982,837,29.4,14.9,3,4,1,0.1,0.466,0.302,0.87,50.4,0.098
385,Ray Felix,1954,1962,637,23.8,10.9,8.9,0.7,,,0.412,,0.678,39.6,0.125
386,Kevin Loughery,1963,1973,755,29.4,15.3,3,3.7,,,0.413,,0.803,29.8,0.064
387,Dick Garmaker,1956,1961,421,28.9,13.3,4.2,2.6,,,0.403,,0.787,25.6,0.101
388,Lloyd Neal,1973,1979,435,25.3,11.1,7.7,1.5,0.5,0.9,0.485,,0.672,22.7,0.099
389,Lonnie Shelton,1977,1986,673,27.5,12,6.1,2.2,1.1,0.8,0.492,0.097,0.738,37.5,0.097
390,Larry Smith,1981,1993,883,25.9,6.7,9.2,1.1,0.8,0.5,0.531,0,0.531,46,0.096
391,Pooh Richardson,1990,1999,639,30.4,11.1,2.8,6.5,1.3,0.2,0.444,0.329,0.652,26.7,0.066
392,Nate McMillan,1987,1998,796,25.7,5.9,4,6.1,1.9,0.4,0.443,0.343,0.65,50.2,0.118
393,Corey Maggette,2000,2013,827,28.2,16,4.9,2.1,0.7,0.2,0.453,0.324,0.822,62.2,0.128
394,Junior Bridgeman,1976,1987,849,25,13.6,3.5,2.4,0.8,0.3,0.475,0.244,0.846,45,0.102
395,M.L. Carr,1977,1985,604,23.5,9.7,4.3,1.8,1.3,0.4,0.47,0.256,0.746,29,0.098
396,Woody Sauldsberry,1958,1966,462,27.7,10.7,7.8,1.1,,,0.348,,0.61,-7.9,-0.03
397,Steve Johnson,1982,1991,626,21.8,11.7,5.5,1.2,0.5,0.8,0.572,0,0.634,26.9,0.095
398,Jim Washington,1966,1976,774,29.3,10.6,8.6,1.4,0.5,0.6,0.449,,0.705,39.3,0.083
399,Vernon Maxwell,1989,2001,855,28.4,12.8,2.6,3.4,1.1,0.2,0.398,0.32,0.733,27.4,0.054
400,Michael Cage,1985,2000,1140,26.1,7.3,7.6,0.9,0.9,0.6,0.515,0,0.664,74.4,0.12
401,Quentin Richardson,2001,2013,783,26.5,10.3,4.7,1.5,0.8,0.2,0.397,0.355,0.718,32.8,0.076
402,Kermit Washington,1974,1988,507,25.3,9.2,8.3,1.4,0.8,1.1,0.526,0,0.656,36,0.135
403,Derrick McKey,1988,2002,937,29.1,11,4.7,2.4,1.1,0.7,0.486,0.316,0.779,61.8,0.109
404,Keith Van Horn,1998,2006,575,31.6,16,6.8,1.6,0.8,0.5,0.443,0.361,0.835,41.7,0.11
405,Cedric Ceballos,1991,2001,609,24.2,14.3,5.3,1.2,0.7,0.3,0.5,0.309,0.753,40.4,0.132
406,Michael Brooks,1981,1988,319,29.4,12.8,6.3,2.6,1.2,0.4,0.486,0.152,0.714,16.5,0.085
407,Dale Davis,1992,2007,1094,27.1,8,7.9,0.9,0.6,1.2,0.53,0,0.562,86.9,0.141
408,Antonio Davis,1994,2006,903,28.9,10,7.5,1.1,0.5,1,0.448,0.087,0.727,59.6,0.11
409,Christian Laettner,1993,2005,868,29.7,12.8,6.7,2.6,1.1,0.8,0.48,0.261,0.82,64.9,0.121
410,Ken Norman,1988,1997,646,29.4,13.5,6.1,2.1,0.8,0.7,0.486,0.312,0.567,27.1,0.069
411,Thurl Bailey,1984,1999,928,26.8,12.8,5.1,1.4,0.5,1.2,0.473,0.114,0.812,45,0.087
412,Mike Woodson,1981,1991,786,25.5,14,2.3,2.3,1.2,0.3,0.466,0.271,0.813,34.6,0.083
413,Al Harrington,1999,2014,981,28.6,13.5,5.6,1.7,0.9,0.3,0.444,0.352,0.727,42.5,0.073
414,Andrew Bogut,2006,2019,706,28.1,9.6,8.7,2.2,0.6,1.5,0.535,0.12,0.557,50.6,0.122
415,Kenny Carr,1978,1987,674,25.5,11.6,7.4,1.4,0.7,0.4,0.51,0.079,0.684,33.6,0.094
416,Don Kojis,1964,1975,814,23.6,12.2,5.6,1.4,0.9,0.2,0.446,,0.72,35.8,0.089
417,Ron Behagen,1974,1980,388,23.5,10.3,7,1.6,0.7,0.4,0.425,,0.754,13,0.068
418,Luol Deng,2005,2019,902,34.3,14.8,6.1,2.3,1,0.5,0.456,0.332,0.769,74,0.115
419,Brian Grant,1995,2006,756,28.3,10.5,7.4,1.2,0.6,0.7,0.49,0.214,0.746,54.5,0.122
420,James Edwards,1978,1996,1168,24.3,12.7,5.1,1.3,0.4,0.7,0.495,0.048,0.698,59.7,0.101
421,Tyrone Hill,1991,2004,801,28,9.4,8.6,0.8,0.8,0.5,0.502,0,0.643,56.2,0.12
422,Jerome Kersey,1985,2001,1153,24.4,10.3,5.5,1.9,1.2,0.7,0.465,0.201,0.69,69.5,0.119
423,Hot Rod Williams,1987,1999,887,29.7,11,6.8,1.8,0.8,1.6,0.48,0.105,0.726,70.5,0.129
424,Ernie DiGregorio,1974,1978,312,25.2,9.6,2,5.1,0.6,0,0.415,,0.902,2.5,0.016
425,Johnny Davis,1977,1986,750,28.3,12.9,2,4.5,0.9,0.2,0.448,0.176,0.821,38.5,0.087
426,Bucky Bockhorn,1959,1965,474,31.2,11.5,4.7,3.5,,,0.403,,0.748,7.9,0.026
427,Don Nelson,1963,1976,1053,20.6,10.3,4.9,1.4,0.3,0.1,0.48,,0.765,74.6,0.165
428,Troy Murphy,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,0.445,0.388,0.785,50.3,0.121
429,Al Attles,1961,1971,711,25.1,8.9,3.5,3.5,,,0.451,,0.632,36.5,0.098
430,Curtis Rowe,1972,1979,590,31,11.6,7.2,1.6,0.5,0.5,0.482,,0.701,34.1,0.09
431,Mike Miller,2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,0.459,0.407,0.769,60.7,0.105
432,Eddie Miles,1964,1972,605,25.9,13.4,3.1,2,,,0.44,,0.747,24.4,0.075
433,Roy Hinson,1984,1991,507,30.7,14.2,6.8,1,0.6,1.7,0.499,0,0.741,30.2,0.093
434,Herm Gilliam,1970,1977,578,26,10.8,3.8,3.8,1.3,0.2,0.441,,0.792,20.8,0.066
435,Adrian Smith,1962,1971,719,25.5,11.8,2.2,2.4,,,0.429,,0.836,31.7,0.083
436,Rex Chapman,1989,2000,666,29.3,14.6,2.5,2.7,0.9,0.2,0.43,0.35,0.8,24.7,0.061
437,Andrei Kirilenko,2002,2015,797,30,11.8,5.5,2.7,1.4,1.8,0.474,0.31,0.754,75.4,0.151
438,Dave Greenwood,1980,1991,823,28.4,10.2,7.9,2,0.7,0.9,0.477,0.138,0.765,46.4,0.095
439,B.J. Armstrong,1990,2000,747,23.8,9.8,1.8,3.3,0.7,0.1,0.477,0.425,0.856,45,0.121
440,Jamal Crawford,2001,2019,1326,29.4,14.6,2.2,3.4,0.9,0.2,0.41,0.348,0.862,60.6,0.075
441,Quintin Dailey,1983,1992,528,23,14.1,2.5,2.3,0.9,0.1,0.454,0.158,0.779,12.7,0.05
442,Jim Paxson,1980,1990,784,27.2,14.3,2,2.9,1.2,0.1,0.498,0.225,0.807,53.7,0.121
443,Spud Webb,1986,1998,814,24.9,9.9,2.1,5.3,1.1,0.1,0.452,0.314,0.848,40.2,0.095
444,Shane Battier,2002,2014,977,30.7,8.6,4.2,1.8,1,0.9,0.437,0.384,0.743,75.7,0.121
445,Albert King,1982,1992,534,24,12.1,4.2,2.2,0.8,0.4,0.461,0.268,0.791,16.3,0.061
446,Gerald Wilkins,1986,1999,900,29,13,2.9,3,1,0.2,0.45,0.316,0.745,33.9,0.062
447,Sam Bowie,1985,1995,511,27.6,10.9,7.5,2.1,0.5,1.8,0.452,0.302,0.748,26.9,0.091
448,Charles Smith,1989,1997,564,29,14.4,5.8,1.4,0.8,1.4,0.475,0.194,0.774,40.9,0.12
449,Josh Howard,2004,2013,507,30.3,14.3,5.7,1.6,1,0.5,0.448,0.332,0.77,38,0.119
450,Dell Curry,1987,2002,1083,21.7,11.7,2.4,1.8,0.9,0.2,0.457,0.402,0.843,41.5,0.085
451,Zaid Abdul-Aziz,1969,1978,505,21.8,9,8,1.2,0.6,1,0.428,,0.728,17.5,0.076
452,Emeka Okafor,2005,2018,616,30.9,12,9.7,0.8,0.7,1.6,0.512,0,0.586,45.3,0.114
453,Kelvin Ransey,1981,1986,474,24.4,11.4,1.9,5.2,1,0.1,0.454,0.132,0.782,17.9,0.074
454,Hedo Türkoğlu,2001,2015,997,26.8,11.1,4,2.8,0.8,0.3,0.426,0.384,0.784,63.3,0.114
455,Kevin Martin,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,0.437,0.384,0.87,61.3,0.137
456,Eric Money,1975,1980,426,25.4,12.2,2.1,3.8,1.2,0.1,0.494,,0.748,14.8,0.065
457,Jason Williams,1999,2011,788,29.4,10.5,2.3,5.9,1.2,0.1,0.398,0.327,0.813,38.5,0.08
458,David Lee,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,0.535,0.034,0.772,76,0.15
459,Kerry Kittles,1997,2005,507,33.4,14.1,3.9,2.6,1.6,0.4,0.439,0.378,0.78,44.8,0.127
460,Kendall Gill,1991,2005,966,30.5,13.4,4.1,3,1.6,0.4,0.434,0.3,0.754,47.8,0.078
461,Devin Harris,2005,2019,985,24.3,10.8,2.2,3.9,1,0.2,0.432,0.325,0.796,54.9,0.11
462,Wally Szczerbiak,2000,2009,651,30.8,14.1,4,2.4,0.6,0.2,0.485,0.406,0.86,53.3,0.127
463,Grant Long,1989,2003,1003,28.4,9.5,6.1,1.7,1.2,0.4,0.467,0.283,0.761,60.1,0.101
464,Billy Owens,1992,2001,600,29.4,11.7,6.7,2.8,0.9,0.5,0.481,0.291,0.629,28.6,0.078
465,LaPhonso Ellis,1993,2003,624,28.2,11.9,6.5,1.6,0.7,0.8,0.452,0.302,0.73,32.8,0.089
466,Jay Humphries,1985,1995,788,29.3,11.1,2.5,5.5,1.5,0.1,0.476,0.297,0.782,45,0.094
467,Tree Rollins,1978,1995,1156,20.8,5.4,5.8,0.6,0.4,2.2,0.522,0,0.7,63.9,0.128
468,Don Buse,1977,1985,648,26.3,6.9,2.3,4.5,1.8,0.1,0.442,0.333,0.78,34.9,0.098
469,Wali Jones,1965,1976,607,23.8,10.1,2.3,3.2,0.4,0,0.409,,0.8,14.9,0.049
470,Larry Hughes,1999,2012,727,30.8,14.1,4.2,3.1,1.5,0.4,0.406,0.309,0.757,32.3,0.069
471,Marvin Webster,1977,1987,579,22.4,7.1,7,1.2,0.4,1.4,0.489,0.333,0.617,28.1,0.104
472,Jon McGlocklin,1966,1976,792,26.4,11.6,2.4,2.9,0.5,0.1,0.489,,0.845,47.1,0.108
473,Clem Haskins,1968,1976,681,25.9,12.8,3.1,3.5,0.6,0.1,0.449,,0.792,35.8,0.097
474,Gar Heard,1971,1981,787,24.9,8.7,7.5,1.6,1.3,1.3,0.414,0,0.654,27,0.066
475,Terry Catledge,1986,1993,515,26.3,12.7,6.4,0.9,0.6,0.2,0.485,0.094,0.654,20.9,0.074
476,Phil Hubbard,1980,1989,665,23.9,10.9,5.3,1.3,0.9,0.1,0.495,0.038,0.706,29,0.088
477,Bob Kauffman,1969,1975,525,25.8,11.5,7,2.7,0.4,0.1,0.477,,0.749,31.5,0.111
478,Loy Vaught,1991,2001,689,24.7,10.1,7.1,0.9,0.7,0.3,0.504,0.244,0.718,35.8,0.101
