Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
94,Spencer Haywood,1971,1983,760,33.7,19.2,9.3,1.8,0.6,1.1,0.465,0.125,0.8,61.4,0.115
95,Dikembe Mutombo,1992,2009,1196,30.8,9.8,10.3,1,0.4,2.8,0.518,0,0.684,117,0.153
96,Pau Gasol,2002,2019,1226,33.4,17,9.2,3.2,0.5,1.6,0.507,0.368,0.753,144.1,0.169
97,Tracy McGrady,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,0.435,0.338,0.746,97.3,0.152
98,Grant Hill,1995,2013,1026,33.9,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,99.9,0.138
99,Vince Carter,1999,2019,1481,30.7,17.2,4.4,3.2,1,0.6,0.437,0.374,0.798,125.5,0.132
100,Buck Williams,1982,1998,1307,32.5,12.8,10,1.3,0.8,0.8,0.549,0.167,0.664,120.1,0.136
101,Slater Martin,1950,1960,745,35.9,9.8,3.4,4.2,,,0.364,,0.762,47.5,0.087
102,Kevin Johnson,1988,2000,735,34.1,17.9,3.3,9.1,1.5,0.2,0.493,0.305,0.841,92.8,0.178
103,Brad Daugherty,1987,1994,548,36.5,19,9.5,3.7,0.8,0.7,0.532,0.143,0.747,65.2,0.156
104,Walter Davis,1978,1992,1033,27.9,18.9,3,3.8,1.2,0.1,0.511,0.272,0.851,76.9,0.128
105,Carmelo Anthony,2004,2019,1064,35.8,24,6.5,3,1,0.5,0.449,0.347,0.811,101,0.127
106,Dan Issel,1977,1985,718,31.1,20.4,7.9,2.5,1,0.6,0.506,0.253,0.797,82.3,0.177
107,Chris Paul,2006,2019,950,35.1,18.5,4.5,9.7,2.2,0.1,0.469,0.37,0.868,171.5,0.247
108,George McGinnis,1976,1982,528,30.7,17.2,9.8,3.8,1.7,0.4,0.448,0.08,0.651,36.2,0.107
109,Jamaal Wilkes,1975,1986,828,32.9,17.7,6.2,2.5,1.3,0.3,0.499,0.135,0.759,71.3,0.125
110,Chet Walker,1963,1975,1032,32.4,18.2,7.1,2.1,0.7,0.1,0.47,,0.796,117.4,0.168
111,George Yardley,1954,1960,472,33.4,19.2,8.9,1.7,,,0.422,,0.78,58.5,0.178
112,Kevin Porter,1973,1983,659,29,11.6,1.8,8.1,1.4,0.1,0.483,0.188,0.737,36,0.09
113,Richie Guerin,1957,1970,848,32.4,17.3,5,5,,,0.416,,0.78,69.2,0.121
114,Norm Van Lier,1970,1979,746,35.1,11.8,4.8,7,1.8,0.2,0.414,,0.78,47.8,0.088
115,Willie Naulls,1957,1966,716,28.8,15.8,9.1,1.6,,,0.406,,0.812,34.3,0.08
116,Zelmo Beaty,1963,1975,570,32.2,16,10.4,1.5,0.7,0.4,0.469,,0.75,58.2,0.152
117,Marques Johnson,1978,1990,691,34.3,20.1,7,3.6,1.3,0.8,0.518,0.152,0.739,79.8,0.162
118,Jo Jo White,1970,1981,837,35.8,17.2,4,4.9,1.3,0.2,0.444,0.167,0.834,54,0.087
119,Jack Sikma,1978,1991,1107,33.4,15.6,9.8,3.2,1,0.9,0.464,0.328,0.849,112.5,0.146
120,Tom Chambers,1982,1998,1107,30.6,18.1,6.1,2.1,0.8,0.6,0.468,0.307,0.807,79,0.112
121,Dick McGuire,1950,1960,738,28.3,8,4.2,5.7,,,0.389,,0.644,50.9,0.115
122,Maurice Cheeks,1979,1993,1101,31.6,11.1,2.8,6.7,2.1,0.3,0.523,0.255,0.793,103.5,0.143
123,Ben Wallace,1997,2012,1088,29.5,5.7,9.6,1.3,1.3,2,0.474,0.137,0.414,93.5,0.14
124,Chauncey Billups,1998,2014,1043,31.6,15.2,2.9,5.4,1,0.2,0.415,0.387,0.894,120.8,0.176
125,Bailey Howell,1960,1971,950,32.2,18.7,9.9,2,,,0.48,,0.762,114.8,0.18
126,Lou Hudson,1967,1979,890,33.5,20.2,4.4,2.7,1.4,0.3,0.489,,0.797,81,0.131
127,Rudy Tomjanovich,1971,1981,768,33.5,17.4,8.1,2,0.7,0.3,0.501,0.262,0.784,70.4,0.131
128,Deron Williams,2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.357,0.822,77.3,0.129
129,Guy Rodgers,1959,1970,892,32.1,11.7,4.3,7.8,,,0.378,,0.721,33.3,0.056
130,Anfernee Hardaway,1994,2008,704,33.7,15.2,4.5,5,1.6,0.4,0.458,0.316,0.774,61.9,0.125
131,Phil Chenier,1972,1981,578,33.1,17.2,3.6,3,1.6,0.6,0.444,0.4,0.806,39.3,0.099
132,Charlie Scott,1972,1980,560,34.4,17.9,3.6,4.8,1.3,0.3,0.444,0.182,0.772,26.9,0.067
133,Bob Davies,1949,1955,462,31.3,14.3,2.9,4.9,,,0.378,,0.759,49.7,0.148
134,Harry Gallatin,1949,1958,682,31.9,13,11.9,1.8,,,0.398,,0.773,78.4,0.182
135,Maurice Lucas,1977,1988,855,29,14.4,8.8,2.3,0.7,0.6,0.473,0.111,0.763,58.7,0.114
136,Larry Foust,1951,1962,817,29.2,13.7,9.8,1.7,,,0.405,,0.741,74.3,0.153
137,Michael Cooper,1979,1990,873,27.1,8.9,3.2,4.2,1.2,0.6,0.469,0.34,0.833,52.5,0.107
138,Paul Silas,1965,1980,1254,27.9,9.4,9.9,2.1,0.6,0.2,0.432,,0.673,79.9,0.11
139,Tony Parker,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,0.491,0.324,0.751,111.3,0.14
140,Metta World Peace,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,0.414,0.339,0.715,61.1,0.093
141,Paul Westphal,1973,1984,823,25.5,15.6,1.9,4.4,1.3,0.3,0.504,0.275,0.82,67.7,0.155
142,Phil Smith,1975,1983,659,29.1,15.1,3,3.9,1.1,0.3,0.476,0.253,0.779,41.1,0.103
143,Manu Ginóbili,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,0.447,0.369,0.827,106.4,0.19
144,Amar'e Stoudemire,2003,2016,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.236,0.761,92.5,0.169
145,Vern Mikkelsen,1950,1959,699,32.5,14.4,9.4,2.2,,,0.403,,0.766,83.4,0.17
146,Rudy LaRusso,1960,1969,736,33.3,15.6,9.4,2.1,,,0.431,,0.767,61.4,0.12
147,Red Kerr,1955,1966,905,30.7,13.8,11.2,2.2,,,0.418,,0.723,61.8,0.107
148,Terry Cummings,1983,2000,1183,28.7,16.4,7.3,1.9,1.1,0.5,0.484,0.295,0.706,91.1,0.129
149,Gus Williams,1976,1987,825,31.1,17.1,2.7,5.6,2,0.4,0.461,0.238,0.756,67.9,0.127
150,Shawn Kemp,1990,2003,1051,27.9,14.6,8.4,1.6,1.1,1.2,0.488,0.277,0.741,89.5,0.147
151,Horace Grant,1988,2004,1165,33.2,11.2,8.1,2.2,1,1,0.509,0.063,0.692,118.2,0.147
152,Shawn Marion,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.331,0.81,124.9,0.15
153,Gene Shue,1955,1964,699,33.4,14.4,4.1,3.7,,,0.396,,0.806,38.9,0.08
154,Yao Ming,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.2,0.833,65.9,0.2
155,Mark Price,1987,1998,722,29.9,15.2,2.6,6.7,1.2,0.1,0.472,0.402,0.904,71.1,0.158
156,Rasheed Wallace,1996,2013,1109,32.7,14.4,6.7,1.8,1,1.3,0.467,0.336,0.721,105.1,0.139
157,Calvin Murphy,1971,1983,1002,30.5,17.9,2.1,4.4,1.5,0.1,0.482,0.139,0.892,84.1,0.132
158,Bobby Wanzer,1949,1957,568,32.5,12.2,4.5,3.2,,,0.393,,0.802,63.9,0.156
159,Bobby Jones,1977,1986,774,26.1,11.5,5.5,2.4,1.4,1.3,0.55,0,0.78,73.7,0.175
160,Mark Jackson,1988,2004,1296,30.2,9.6,3.8,8,1.2,0.1,0.447,0.332,0.77,91.8,0.113
161,Otis Birdsong,1978,1989,696,31.1,18,3,3.2,1.2,0.2,0.506,0.274,0.655,48.2,0.107
162,Johnny Green,1960,1973,1057,23.3,11.6,8.6,1.4,,,0.493,,0.553,58,0.113
163,John Drew,1975,1985,739,29.5,20.7,6.9,1.7,1.4,0.3,0.47,0.175,0.748,68.9,0.152
164,Tom Gola,1956,1966,698,32.3,11.3,8,4.2,,,0.431,,0.76,53.2,0.113
165,Larry Nance,1982,1994,920,33.4,17.1,8,2.6,0.9,2.2,0.546,0.145,0.755,109.6,0.171
166,Randy Smith,1972,1983,976,32.2,16.7,3.7,4.6,1.7,0.1,0.47,0.155,0.781,60.1,0.092
167,Terry Porter,1986,2002,1274,27.8,12.2,3,5.6,1.2,0.1,0.463,0.386,0.836,110.4,0.15
168,Rolando Blackman,1982,1994,980,32.7,18,3.3,3,0.7,0.3,0.493,0.343,0.84,75.6,0.113
169,Andy Phillip,1948,1958,701,32.2,9.1,4.4,5.4,,,0.368,,0.695,53.3,0.077
170,Clyde Lovellette,1954,1964,704,27.1,17,9.5,1.6,,,0.443,,0.757,70.6,0.178
171,Chris Bosh,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.335,0.799,106,0.159
172,Bill Bradley,1968,1977,742,30.7,12.4,3.2,3.4,0.7,0.2,0.448,,0.84,38.8,0.082
173,Larry Johnson,1992,2001,707,36.3,16.2,7.5,3.3,0.7,0.4,0.484,0.332,0.766,69.7,0.13
174,Jermaine O'Neal,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,0.467,0.147,0.715,66,0.116
175,Andrew Toney,1981,1988,468,26.9,15.9,2.2,4.2,0.8,0.2,0.5,0.342,0.797,26.9,0.103
176,Reggie Theus,1979,1991,1026,33.7,18.5,3.3,6.3,1.2,0.2,0.471,0.252,0.826,66.9,0.093
